INCIDENT NUMBER,EXPOSURE NUMBER,DISPATCH DATE,DISPATCH TIME,INCIDENT TYPE,INCIDENT DESCRIPTION,STREET NUMBER,STREET PREFIX,STREET NAME,STREET TYPE,STREET SUFFIX,FORMATTED STREET,CITY,STATE,ZIP,APARTMENT,CROSS STREET PREFIX,CROSS STREET NAME,CROSS STREET TYPE,CROSS STREET SUFFIX,RURAL,PROPERTY LOSS,CONTENTS LOSS,FIRE SERVICE FATALITY,FIRE SERVICE INJURY,CIVILIAN FATALITY,CIVILIAN INJURY,PROPERTY VALUE,CONTENTS VALUE,ALARMS,SUPPRESSION APPARATUS,SUPPRESSION PERSONNEL,EMS APPARATUS,EMS PERSONNEL,RESCUE APPARATUS,RESCUE PERSONNEL,OTHER APPARATUS,OTHER PERSONNEL,CONTROL DATE,CONTROL TIME,CLEAR DATE,CLEAR TIME,CAUSE OF IGNITION,CAUSE OF IGNITION DESCRIPTION ,GEOLOCATION
16-0007090,0,03/24/2016,18:11:20,611,Dispatched & cancelled en route,651,,KIMMERIDGE,DR,,651  KIMMERIDGE DR,BATON ROUGE,LA,70815,,,,,,,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,,,03/24/2016,18:16:22,,,"651 KIMMERIDGE DR
BATON ROUGE, LA 70815
(30.452879, -91.035343)"
15-0002547,0,01/30/2015,11:17:27,322,Motor vehicle accident with injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,01/30/2015,11:36:26,,,
15-0002546,0,01/30/2015,11:01:43,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,11:25:40,,,
15-0002545,0,01/30/2015,10:50:16,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,11:05:36,,,
15-0002544,0,01/30/2015,10:46:40,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,11:06:48,,,
15-0002543,0,01/30/2015,10:37:05,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,11:02:06,,,
15-0002542,0,01/30/2015,10:28:13,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,,01/30/2015,10:47:44,,,
15-0002541,0,01/30/2015,10:23:41,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,10:37:16,,,
15-0002540,0,01/30/2015,10:18:30,322,Motor vehicle accident with injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,,,01/30/2015,10:42:03,,,
15-0002539,0,01/30/2015,10:04:11,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,10:17:45,,,
15-0002538,0,01/30/2015,09:38:23,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,09:54:56,,,
15-0002537,0,01/30/2015,09:24:59,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,09:45:46,,,
16-0007970,0,04/03/2016,19:40:27,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,,,04/03/2016,19:52:20,,,
16-0007798,0,04/01/2016,16:25:24,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,,,04/01/2016,16:35:34,,,
16-0008078,0,04/04/2016,22:48:19,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,,04/04/2016,23:04:14,,,
16-0008027,0,04/03/2016,12:12:35,600,"Good intent call, Other",7373,,PERKINS,RD,,7373  PERKINS RD,BATON ROUGE,LA,70808,3,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,04/04/2016,12:16:40,,,"7373 PERKINS RD
BATON ROUGE, LA 70808
(30.397494, -91.113451)"
15-0002534,0,01/30/2015,09:13:44,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,09:49:41,,,
15-0002535,0,01/30/2015,09:12:45,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,09:29:54,,,
15-0002533,0,01/30/2015,09:07:19,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,09:21:10,,,
15-0002532,0,01/30/2015,08:37:02,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,,01/30/2015,08:50:11,,,
16-0007757,0,04/01/2016,05:57:00,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,06:09:28,,,
16-0007822,0,04/01/2016,22:50:31,322,Motor vehicle accident with injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,,,04/01/2016,23:12:15,,,
16-0007801,0,04/01/2016,16:43:44,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,,,04/01/2016,16:54:13,,,
15-0002527,0,01/30/2015,08:03:54,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,08:20:15,,,
15-0002367,0,01/28/2015,11:00:45,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,,,01/28/2015,11:14:32,,,
16-0008077,0,04/04/2016,22:27:30,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,22:37:20,,,
15-0002524,0,01/30/2015,06:17:02,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,,01/30/2015,06:29:27,,,
15-0002523,0,01/30/2015,05:55:56,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,06:14:37,,,
16-0007787,0,04/01/2016,14:53:21,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,,,04/01/2016,15:10:34,,,
15-0002521,0,01/30/2015,04:43:07,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,05:03:52,,,
16-0007812,0,04/01/2016,19:37:14,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,19:58:20,,,
16-0007811,0,04/01/2016,19:32:30,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,19:52:49,,,
15-0002518,0,01/30/2015,02:25:18,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,03:00:04,,,
15-0002517,0,01/30/2015,02:24:56,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,02:40:08,,,
16-0007827,0,04/02/2016,00:06:22,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/02/2016,00:31:20,,,
16-0007797,0,04/01/2016,16:24:29,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,16:41:48,,,
16-0007823,0,04/01/2016,22:57:27,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,23:24:10,,,
16-0007779,0,04/01/2016,12:39:20,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,12:47:06,,,
16-0007814,0,04/01/2016,20:23:23,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,21:03:16,,,
16-0008067,0,04/04/2016,19:54:37,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,,,04/04/2016,20:20:44,,,
16-0008010,0,04/04/2016,09:33:50,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,09:51:39,,,
16-0008003,0,04/04/2016,08:45:07,600,"Good intent call, Other",5750,,PARKVIEW CHURCH,RD,,5750  PARKVIEW CHURCH RD,BATON ROUGE,LA,70816,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,08:59:12,,,"5750 PARKVIEW CHURCH RD
BATON ROUGE, LA 70816
(30.397416, -91.049563)"
15-0002511,0,01/30/2015,00:04:39,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,00:30:58,,,
16-0007817,0,04/01/2016,21:14:29,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,21:36:47,,,
15-0002516,0,01/30/2015,00:00:00,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,02:41:43,,,
16-0007768,0,04/01/2016,09:13:53,300,"Rescue, EMS incident, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,04/01/2016,09:27:54,,,
15-0002569,0,01/30/2015,00:00:00,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,,,01/30/2015,14:39:56,,,
16-0007772,0,04/01/2016,09:54:09,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,10:08:50,,,
15-0002564,0,01/30/2015,00:00:00,320,"Emergency medical service, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,,,01/30/2015,15:08:55,,,
16-0007788,0,04/01/2016,15:01:27,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,15:12:10,,,
15-0002342,0,01/28/2015,06:49:24,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/28/2015,07:12:32,,,
16-0008044,0,04/04/2016,15:15:42,600,"Good intent call, Other",8180,,PLANK,RD,,8180  PLANK RD,BATON ROUGE,LA,70807,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,15:20:05,,,"8180 PLANK RD
BATON ROUGE, LA 70807
(30.52331, -91.144662)"
16-0007796,0,04/01/2016,16:20:47,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,16:28:55,,,
15-0002615,0,01/30/2015,00:00:00,331,"Lock-in (if lock out , use 511 )",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,,,01/30/2015,21:52:33,,,
15-0002614,0,01/30/2015,00:00:00,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/30/2015,21:54:38,,,
15-0002510,0,01/29/2015,23:44:34,322,Motor vehicle accident with injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,,01/30/2015,00:04:30,,,
15-0002509,0,01/29/2015,23:30:14,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,23:50:29,,,
16-0007656,0,03/31/2016,05:19:07,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,03/31/2016,05:32:16,,,
15-0002507,0,01/29/2015,22:56:52,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,23:46:08,,,
15-0002506,0,01/29/2015,22:35:22,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,22:47:20,,,
15-0002505,0,01/29/2015,22:21:20,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,22:42:48,,,
15-0002503,0,01/29/2015,22:02:04,661,"EMS call, party transported by non-fire agency",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,22:21:08,,,
16-0008089,0,04/05/2016,01:43:07,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/05/2016,02:04:53,,,
15-0002501,0,01/29/2015,21:18:04,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,21:30:14,,,
16-0007804,0,04/01/2016,17:50:03,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,,,04/01/2016,18:00:36,,,
16-0007758,0,04/01/2016,06:37:02,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,07:06:28,,,
16-0007808,0,04/01/2016,18:22:47,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,18:36:00,,,
16-0007752,0,04/01/2016,00:00:00,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,,,04/01/2016,04:59:28,,,
15-0002499,0,01/29/2015,20:41:20,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,21:01:11,,,
16-0007791,0,04/01/2016,15:48:32,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,,,04/01/2016,16:09:22,,,
16-0007810,0,04/01/2016,19:30:25,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,19:52:37,,,
15-0002496,0,01/29/2015,20:17:11,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,20:55:12,,,
16-0008029,0,04/04/2016,12:27:33,600,"Good intent call, Other",2236,,YAZOO,ST,,2236  YAZOO ST,BATON ROUGE,LA,70808,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,12:47:36,,,"2236 YAZOO ST
BATON ROUGE, LA 70808
(30.427864, -91.145206)"
15-0002493,0,01/29/2015,19:18:40,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,19:38:10,,,
16-0007767,0,04/01/2016,09:03:02,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,09:12:16,,,
16-0007820,0,04/01/2016,21:58:17,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/01/2016,22:10:12,,,
15-0002490,0,01/29/2015,18:01:41,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,18:12:27,,,
16-0008039,0,04/04/2016,14:50:44,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,04/04/2016,15:06:44,,,
15-0002488,0,01/29/2015,17:36:05,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,17:57:25,,,
15-0002487,0,01/29/2015,17:32:31,320,"Emergency medical service, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,01/29/2015,17:41:54,01/29/2015,17:54:40,,,
15-0002486,0,01/29/2015,17:23:20,322,Motor vehicle accident with injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,2,7,0,0,0,0,,,01/29/2015,17:39:17,,,
15-0002485,0,01/29/2015,17:04:57,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,17:18:43,,,
15-0002483,0,01/29/2015,16:53:59,661,"EMS call, party transported by non-fire agency",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,17:20:24,,,
15-0002482,0,01/29/2015,16:46:01,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,16:59:29,,,
15-0002480,0,01/29/2015,16:20:44,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,16:41:36,,,
15-0002479,0,01/29/2015,16:11:22,324,Motor Vehicle Accident with no injuries,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,01/29/2015,16:17:09,,,
15-0002427,0,01/29/2015,01:16:11,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,01:32:43,,,
16-0007991,0,04/04/2016,04:27:12,745,"Alarm system activation, no fire - unintentional",421,,THIRD,ST,,421  THIRD ST,BATON ROUGE,LA,70802,3,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,,,04/04/2016,04:52:20,,,"421 THIRD ST
BATON ROUGE, LA 70802
(30.45077, -91.188323)"
15-0002472,0,01/29/2015,13:46:02,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,14:10:31,,,
15-0002471,0,01/29/2015,13:32:44,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,13:47:56,,,
15-0002469,0,01/29/2015,13:25:27,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,13:46:10,,,
15-0002470,0,01/29/2015,13:24:05,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,13:43:34,,,
15-0002468,0,01/29/2015,13:08:00,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,13:28:45,,,
15-0002320,0,01/27/2015,22:35:23,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/27/2015,22:55:45,,,
15-0002466,0,01/29/2015,13:01:31,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,13:15:44,,,
15-0002465,0,01/29/2015,12:42:20,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,13:07:42,,,
15-0002464,0,01/29/2015,12:30:38,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,12:51:06,,,
15-0002462,0,01/29/2015,12:01:26,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,12:22:52,,,
15-0002460,0,01/29/2015,11:35:57,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,11:47:32,,,
15-0002459,0,01/29/2015,11:27:37,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,11:37:08,,,
15-0002458,0,01/29/2015,11:19:50,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,11:40:03,,,
15-0002456,0,01/29/2015,10:57:50,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,11:11:03,,,
15-0002453,0,01/29/2015,10:35:22,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,10:43:33,,,
15-0002452,0,01/29/2015,10:30:10,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,10:50:27,,,
15-0002451,0,01/29/2015,10:14:48,300,"Rescue, EMS incident, other",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,,,01/29/2015,10:27:23,,,
15-0002449,0,01/29/2015,10:12:43,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,10:25:12,,,
15-0002448,0,01/29/2015,09:50:23,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,10:09:01,,,
15-0002446,0,01/29/2015,09:18:07,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,09:38:10,,,
15-0002445,0,01/29/2015,08:52:22,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,09:05:27,,,
15-0002444,0,01/29/2015,08:41:53,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,09:15:35,,,
15-0002443,0,01/29/2015,08:38:39,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,08:55:55,,,
15-0002441,0,01/29/2015,08:16:41,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,08:35:32,,,
15-0002440,0,01/29/2015,07:21:38,321,"EMS call, excluding vehicle accident with injury",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,,,01/29/2015,07:32:59,,,
15-0002439,0,01/29/2015,06:36:26,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,07:22:20,,,
15-0002438,0,01/29/2015,06:20:57,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,,,01/29/2015,06:39:26,,,
15-0002437,0,01/29/2015,05:21:13,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,05:37:18,,,
15-0002436,0,01/29/2015,04:29:42,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,04:56:36,,,
15-0002435,0,01/29/2015,04:22:18,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,04:45:09,,,
15-0002434,0,01/29/2015,04:15:35,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,04:31:24,,,
15-0002433,0,01/29/2015,04:11:20,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,,,01/29/2015,04:30:45,,,
15-0002432,0,01/29/2015,03:15:09,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,03:28:35,,,
15-0002431,0,01/29/2015,02:59:51,661,"EMS call, party transported by non-fire agency",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,03:39:09,,,
15-0002429,0,01/29/2015,02:47:20,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,02:57:23,,,
15-0002428,0,01/29/2015,02:12:40,311,"Medical assist, assist EMS crew",,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,01/29/2015,02:26:09,,,
